"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__15-05-36(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__15-05-37(2).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__15-05-38(3).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__15-05-38(4).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__15-05-39(5).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__15-30-09(2).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__15-30-09(3).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__16-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__18-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__19-00-00(1).JPG",339,333,383,389,"frog"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__20-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__21-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__22-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-16__23-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-18__17-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-18__18-00-00(1).JPG",0,0,1,1,"empty"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-18__19-00-00(1).JPG",689,270,756,318,"frog"
"train/Session_1_Case_Pilote_FC__Camera1__2022-06-18__20-00-00(1).JPG",0,0,1,1,"empty"
